------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to cubic
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 42198 (icwnd/mss/irtt=14/1448/1614)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 46450 (icwnd/mss/irtt=14/1448/6492)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 49250 (icwnd/mss/irtt=14/1448/6365)
[ ID] Interval       Transfer     Bandwidth
[  1] 3.7000-3.8000 sec  0.702 GBytes  7.02 GBytes/sec
[  3] 3.7000-3.8000 sec  0.689 GBytes  6.89 GBytes/sec
[  1] 3.8000-3.9000 sec  0.705 GBytes  7.05 GBytes/sec
[  3] 3.8000-3.9000 sec  0.674 GBytes  6.74 GBytes/sec
[  2] 3.8000-3.9000 sec  0.947 GBytes  9.47 GBytes/sec
[  3] 3.9000-4.0000 sec  0.688 GBytes  6.88 GBytes/sec
[  2] 3.9000-4.0000 sec  0.866 GBytes  8.66 GBytes/sec
[  1] 3.9000-4.0000 sec  0.695 GBytes  6.95 GBytes/sec
[  3] 4.0000-4.1000 sec  0.687 GBytes  6.87 GBytes/sec
[  2] 4.0000-4.1000 sec  0.938 GBytes  9.37 GBytes/sec
[  1] 4.0000-4.1000 sec  0.698 GBytes  6.98 GBytes/sec
[  3] 4.1000-4.2000 sec  0.669 GBytes  6.69 GBytes/sec
[  2] 4.1000-4.2000 sec  0.915 GBytes  9.15 GBytes/sec
[  1] 4.1000-4.2000 sec  0.708 GBytes  7.08 GBytes/sec
[  1] 4.2000-4.3000 sec  0.705 GBytes  7.05 GBytes/sec
[  3] 4.2000-4.3000 sec  0.682 GBytes  6.82 GBytes/sec
[  2] 4.2000-4.3000 sec  0.849 GBytes  8.49 GBytes/sec
[  1] 4.3000-4.4000 sec  0.718 GBytes  7.18 GBytes/sec
[  3] 4.3000-4.4000 sec  0.680 GBytes  6.80 GBytes/sec
[  2] 4.3000-4.4000 sec  0.909 GBytes  9.09 GBytes/sec
[  3] 4.4000-4.5000 sec  0.667 GBytes  6.67 GBytes/sec
[  2] 4.4000-4.5000 sec  0.843 GBytes  8.43 GBytes/sec
[  1] 4.4000-4.5000 sec  0.698 GBytes  6.98 GBytes/sec
[  3] 4.5000-4.6000 sec  0.668 GBytes  6.68 GBytes/sec
[  2] 4.5000-4.6000 sec  0.849 GBytes  8.49 GBytes/sec
[  1] 4.5000-4.6000 sec  0.682 GBytes  6.82 GBytes/sec
[  2] 4.6000-4.7000 sec  0.978 GBytes  9.78 GBytes/sec
[  1] 4.6000-4.7000 sec  0.706 GBytes  7.06 GBytes/sec
[  3] 4.6000-4.7000 sec  0.674 GBytes  6.74 GBytes/sec
[  1] 4.7000-4.8000 sec  0.708 GBytes  7.08 GBytes/sec
[  3] 4.7000-4.8000 sec  0.661 GBytes  6.61 GBytes/sec
[  2] 4.7000-4.8000 sec  0.916 GBytes  9.16 GBytes/sec
[  1] 4.8000-4.9000 sec  0.704 GBytes  7.04 GBytes/sec
[  3] 4.8000-4.9000 sec  0.662 GBytes  6.62 GBytes/sec
[  2] 4.8000-4.9000 sec  0.921 GBytes  9.21 GBytes/sec
[  3] 4.9000-4.9997 sec  0.709 GBytes  7.11 GBytes/sec
[  3] 0.0000-4.9997 sec  32.5 GBytes  6.50 GBytes/sec
[  1] 4.9000-5.0000 sec  0.717 GBytes  7.17 GBytes/sec
[  2] 4.9000-5.0000 sec  0.955 GBytes  9.55 GBytes/sec
[  1] 0.0000-5.0008 sec  34.4 GBytes  6.88 GBytes/sec
[  2] 0.0000-5.0018 sec  42.3 GBytes  8.45 GBytes/sec
