------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to reno
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 42190 (icwnd/mss/irtt=14/1448/1636)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 49240 (icwnd/mss/irtt=14/1448/1819)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 46446 (icwnd/mss/irtt=14/1448/2027)
[ ID] Interval       Transfer     Bandwidth
[  3] 2.4000-2.5000 sec  0.604 GBytes  6.04 GBytes/sec
[  1] 2.4000-2.5000 sec  0.924 GBytes  9.24 GBytes/sec
[  2] 2.4000-2.5000 sec  0.622 GBytes  6.22 GBytes/sec
[  3] 2.5000-2.6000 sec  0.586 GBytes  5.86 GBytes/sec
[  1] 2.5000-2.6000 sec  0.930 GBytes  9.30 GBytes/sec
[  2] 2.5000-2.6000 sec  0.631 GBytes  6.31 GBytes/sec
[  3] 2.6000-2.7000 sec  0.620 GBytes  6.20 GBytes/sec
[  1] 2.6000-2.7000 sec  1.06 GBytes  10.6 GBytes/sec
[  2] 2.6000-2.7000 sec  0.659 GBytes  6.59 GBytes/sec
[  3] 2.7000-2.8000 sec  0.613 GBytes  6.13 GBytes/sec
[  1] 2.7000-2.8000 sec  1.03 GBytes  10.3 GBytes/sec
[  2] 2.7000-2.8000 sec  0.651 GBytes  6.51 GBytes/sec
[  3] 2.8000-2.9000 sec  0.588 GBytes  5.88 GBytes/sec
[  1] 2.8000-2.9000 sec  0.891 GBytes  8.91 GBytes/sec
[  2] 2.8000-2.9000 sec  0.628 GBytes  6.28 GBytes/sec
[  1] 2.9000-3.0000 sec  0.975 GBytes  9.75 GBytes/sec
[  3] 2.9000-3.0000 sec  0.583 GBytes  5.83 GBytes/sec
[  2] 2.9000-3.0000 sec  0.621 GBytes  6.21 GBytes/sec
[  3] 3.0000-3.1000 sec  0.570 GBytes  5.70 GBytes/sec
[  1] 3.0000-3.1000 sec  0.911 GBytes  9.11 GBytes/sec
[  2] 3.0000-3.1000 sec  0.609 GBytes  6.09 GBytes/sec
[  3] 3.1000-3.2000 sec  0.577 GBytes  5.77 GBytes/sec
[  1] 3.1000-3.2000 sec  0.932 GBytes  9.32 GBytes/sec
[  2] 3.1000-3.2000 sec  0.616 GBytes  6.16 GBytes/sec
[  3] 3.2000-3.3000 sec  0.562 GBytes  5.62 GBytes/sec
[  1] 3.2000-3.3000 sec  0.938 GBytes  9.38 GBytes/sec
[  2] 3.2000-3.3000 sec  0.610 GBytes  6.10 GBytes/sec
[  3] 3.3000-3.4000 sec  0.573 GBytes  5.73 GBytes/sec
[  1] 3.3000-3.4000 sec  0.960 GBytes  9.60 GBytes/sec
[  2] 3.3000-3.4000 sec  0.630 GBytes  6.30 GBytes/sec
[  1] 3.4000-3.5000 sec  0.936 GBytes  9.36 GBytes/sec
[  3] 3.4000-3.5000 sec  0.570 GBytes  5.70 GBytes/sec
[  2] 3.4000-3.5000 sec  0.625 GBytes  6.25 GBytes/sec
[  3] 3.5000-3.6000 sec  0.578 GBytes  5.78 GBytes/sec
[  1] 3.5000-3.6000 sec  0.975 GBytes  9.75 GBytes/sec
[  2] 3.5000-3.6000 sec  0.623 GBytes  6.23 GBytes/sec
[  3] 3.6000-3.7000 sec  0.568 GBytes  5.68 GBytes/sec
[  1] 3.6000-3.7000 sec  0.918 GBytes  9.18 GBytes/sec
[  2] 3.6000-3.7000 sec  0.617 GBytes  6.17 GBytes/sec
[  3] 3.7000-3.8000 sec  0.573 GBytes  5.73 GBytes/sec
[  1] 3.7000-3.8000 sec  0.920 GBytes  9.20 GBytes/sec
[  2] 3.7000-3.8000 sec  0.623 GBytes  6.23 GBytes/sec
[  3] 3.8000-3.9000 sec  0.597 GBytes  5.97 GBytes/sec
[  1] 3.8000-3.9000 sec  0.962 GBytes  9.62 GBytes/sec
[  2] 3.8000-3.9000 sec  0.600 GBytes  6.00 GBytes/sec
[  3] 3.9000-4.0000 sec  0.587 GBytes  5.87 GBytes/sec
[  1] 3.9000-4.0000 sec  0.983 GBytes  9.83 GBytes/sec
[  2] 3.9000-4.0000 sec  0.628 GBytes  6.28 GBytes/sec
[  3] 4.0000-4.1000 sec  0.536 GBytes  5.36 GBytes/sec
[  1] 4.0000-4.1000 sec  0.908 GBytes  9.08 GBytes/sec
[  2] 4.0000-4.1000 sec  0.575 GBytes  5.75 GBytes/sec
[  3] 4.1000-4.2000 sec  0.537 GBytes  5.37 GBytes/sec
[  1] 4.1000-4.2000 sec  0.912 GBytes  9.12 GBytes/sec
[  2] 4.1000-4.2000 sec  0.593 GBytes  5.93 GBytes/sec
[  3] 4.2000-4.3000 sec  0.539 GBytes  5.39 GBytes/sec
[  1] 4.2000-4.3000 sec  0.910 GBytes  9.10 GBytes/sec
[  2] 4.2000-4.3000 sec  0.583 GBytes  5.83 GBytes/sec
[  3] 4.3000-4.4000 sec  0.535 GBytes  5.35 GBytes/sec
[  1] 4.3000-4.4000 sec  0.916 GBytes  9.16 GBytes/sec
[  2] 4.3000-4.4000 sec  0.587 GBytes  5.87 GBytes/sec
[  3] 4.4000-4.5000 sec  0.567 GBytes  5.67 GBytes/sec
[  1] 4.4000-4.5000 sec  0.920 GBytes  9.20 GBytes/sec
[  2] 4.4000-4.5000 sec  0.606 GBytes  6.06 GBytes/sec
[  3] 4.5000-4.6000 sec  0.581 GBytes  5.81 GBytes/sec
[  1] 4.5000-4.6000 sec  0.779 GBytes  7.79 GBytes/sec
[  2] 4.5000-4.6000 sec  0.617 GBytes  6.17 GBytes/sec
[  3] 4.6000-4.7000 sec  0.603 GBytes  6.03 GBytes/sec
[  1] 4.6000-4.7000 sec  0.828 GBytes  8.28 GBytes/sec
[  2] 4.6000-4.7000 sec  0.627 GBytes  6.27 GBytes/sec
[  3] 4.7000-4.8000 sec  0.606 GBytes  6.06 GBytes/sec
[  1] 4.7000-4.8000 sec  1.01 GBytes  10.1 GBytes/sec
[  2] 4.7000-4.8000 sec  0.627 GBytes  6.27 GBytes/sec
[  1] 4.8000-4.9000 sec  1.08 GBytes  10.8 GBytes/sec
[  3] 4.8000-4.9000 sec  0.622 GBytes  6.22 GBytes/sec
[  2] 4.8000-4.9000 sec  0.679 GBytes  6.79 GBytes/sec
[  3] 4.9000-5.0000 sec  0.600 GBytes  6.00 GBytes/sec
[  1] 4.9000-5.0000 sec  0.990 GBytes  9.90 GBytes/sec
[  2] 4.9000-5.0000 sec  0.665 GBytes  6.65 GBytes/sec
[  3] 0.0000-5.0001 sec  29.3 GBytes  5.85 GBytes/sec
[  2] 0.0000-5.0001 sec  30.9 GBytes  6.17 GBytes/sec
[  1] 0.0000-5.0002 sec  46.5 GBytes  9.29 GBytes/sec
