------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to bbr
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 59796 (icwnd/mss/irtt=14/1448/3341)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 38804 (icwnd/mss/irtt=14/1448/4532)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 45158 (icwnd/mss/irtt=14/1448/1336)
[ ID] Interval       Transfer     Bandwidth
[  2] 3.7000-3.8000 sec  0.523 GBytes  5.23 GBytes/sec
[  3] 3.8000-3.9000 sec  0.332 GBytes  3.32 GBytes/sec
[  1] 3.8000-3.9000 sec  0.422 GBytes  4.22 GBytes/sec
[  2] 3.8000-3.9000 sec  0.561 GBytes  5.61 GBytes/sec
[  3] 3.9000-4.0000 sec  0.315 GBytes  3.15 GBytes/sec
[  1] 3.9000-4.0000 sec  0.409 GBytes  4.09 GBytes/sec
[  2] 3.9000-4.0000 sec  0.535 GBytes  5.35 GBytes/sec
[  1] 4.0000-4.1000 sec  0.410 GBytes  4.10 GBytes/sec
[  3] 4.0000-4.1000 sec  0.321 GBytes  3.21 GBytes/sec
[  2] 4.0000-4.1000 sec  0.523 GBytes  5.23 GBytes/sec
[  3] 4.1000-4.2000 sec  0.320 GBytes  3.20 GBytes/sec
[  1] 4.1000-4.2000 sec  0.436 GBytes  4.36 GBytes/sec
[  2] 4.1000-4.2000 sec  0.529 GBytes  5.29 GBytes/sec
[  3] 4.2000-4.3000 sec  0.356 GBytes  3.56 GBytes/sec
[  1] 4.2000-4.3000 sec  0.385 GBytes  3.85 GBytes/sec
[  2] 4.2000-4.3000 sec  0.535 GBytes  5.35 GBytes/sec
[  3] 4.3000-4.4000 sec  0.324 GBytes  3.24 GBytes/sec
[  1] 4.3000-4.4000 sec  0.424 GBytes  4.24 GBytes/sec
[  2] 4.3000-4.4000 sec  0.556 GBytes  5.56 GBytes/sec
[  1] 4.4000-4.5000 sec  0.378 GBytes  3.78 GBytes/sec
[  2] 4.4000-4.5000 sec  0.517 GBytes  5.17 GBytes/sec
[  3] 4.4000-4.5000 sec  0.356 GBytes  3.56 GBytes/sec
[  3] 4.5000-4.6000 sec  0.334 GBytes  3.34 GBytes/sec
[  1] 4.5000-4.6000 sec  0.393 GBytes  3.93 GBytes/sec
[  2] 4.5000-4.6000 sec  0.496 GBytes  4.96 GBytes/sec
[  3] 4.6000-4.7000 sec  0.326 GBytes  3.26 GBytes/sec
[  1] 4.6000-4.7000 sec  0.426 GBytes  4.26 GBytes/sec
[  2] 4.6000-4.7000 sec  0.528 GBytes  5.28 GBytes/sec
[  3] 4.7000-4.8000 sec  0.302 GBytes  3.02 GBytes/sec
[  1] 4.7000-4.8000 sec  0.395 GBytes  3.95 GBytes/sec
[  2] 4.7000-4.8000 sec  0.524 GBytes  5.24 GBytes/sec
[  3] 4.8000-4.9000 sec  0.313 GBytes  3.13 GBytes/sec
[  1] 4.8000-4.9000 sec  0.398 GBytes  3.98 GBytes/sec
[  2] 4.8000-4.9000 sec  0.527 GBytes  5.27 GBytes/sec
[  1] 4.9000-4.9999 sec  0.410 GBytes  4.10 GBytes/sec
[  1] 0.0000-4.9999 sec  19.9 GBytes  3.99 GBytes/sec
[  2] 4.9000-5.0000 sec  0.513 GBytes  5.13 GBytes/sec
[  2] 0.0000-5.0000 sec  27.0 GBytes  5.39 GBytes/sec
[  3] 4.9000-5.0000 sec  0.302 GBytes  3.02 GBytes/sec
[  3] 0.0000-5.0014 sec  17.4 GBytes  3.47 GBytes/sec
