------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to reno
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 38312 (icwnd/mss/irtt=14/1448/569)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 45300 (icwnd/mss/irtt=14/1448/1972)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 56992 (icwnd/mss/irtt=14/1448/1956)
[ ID] Interval       Transfer     Bandwidth
[  2] 1.9000-2.0000 sec  0.847 GBytes  8.47 GBytes/sec
[  1] 1.9000-2.0000 sec  0.413 GBytes  4.13 GBytes/sec
[  3] 2.0000-2.1000 sec  0.478 GBytes  4.78 GBytes/sec
[  2] 2.0000-2.1000 sec  0.856 GBytes  8.56 GBytes/sec
[  1] 2.0000-2.1000 sec  0.450 GBytes  4.50 GBytes/sec
[  2] 2.1000-2.2000 sec  0.812 GBytes  8.12 GBytes/sec
[  1] 2.1000-2.2000 sec  0.475 GBytes  4.75 GBytes/sec
[  3] 2.1000-2.2000 sec  0.336 GBytes  3.36 GBytes/sec
[  3] 2.2000-2.3000 sec  0.422 GBytes  4.22 GBytes/sec
[  2] 2.2000-2.3000 sec  0.796 GBytes  7.96 GBytes/sec
[  1] 2.2000-2.3000 sec  0.417 GBytes  4.17 GBytes/sec
[  3] 2.3000-2.4000 sec  0.466 GBytes  4.66 GBytes/sec
[  2] 2.3000-2.4000 sec  0.637 GBytes  6.37 GBytes/sec
[  1] 2.3000-2.4000 sec  0.559 GBytes  5.59 GBytes/sec
[  3] 2.4000-2.5000 sec  0.522 GBytes  5.22 GBytes/sec
[  2] 2.4000-2.5000 sec  0.407 GBytes  4.07 GBytes/sec
[  1] 2.4000-2.5000 sec  0.751 GBytes  7.51 GBytes/sec
[  2] 2.5000-2.6000 sec  0.450 GBytes  4.50 GBytes/sec
[  1] 2.5000-2.6000 sec  0.465 GBytes  4.65 GBytes/sec
[  3] 2.5000-2.6000 sec  0.725 GBytes  7.25 GBytes/sec
[  2] 2.6000-2.7000 sec  0.463 GBytes  4.63 GBytes/sec
[  1] 2.6000-2.7000 sec  0.797 GBytes  7.97 GBytes/sec
[  3] 2.6000-2.7000 sec  0.362 GBytes  3.62 GBytes/sec
[  3] 2.7000-2.8000 sec  0.429 GBytes  4.29 GBytes/sec
[  2] 2.7000-2.8000 sec  0.435 GBytes  4.35 GBytes/sec
[  1] 2.7000-2.8000 sec  0.833 GBytes  8.33 GBytes/sec
[  3] 2.8000-2.9000 sec  0.798 GBytes  7.98 GBytes/sec
[  2] 2.8000-2.9000 sec  0.449 GBytes  4.49 GBytes/sec
[  1] 2.8000-2.9000 sec  0.397 GBytes  3.97 GBytes/sec
[  3] 2.9000-3.0000 sec  0.818 GBytes  8.18 GBytes/sec
[  2] 2.9000-3.0000 sec  0.405 GBytes  4.05 GBytes/sec
[  1] 2.9000-3.0000 sec  0.433 GBytes  4.33 GBytes/sec
[  2] 3.0000-3.1000 sec  0.340 GBytes  3.40 GBytes/sec
[  1] 3.0000-3.1000 sec  0.565 GBytes  5.65 GBytes/sec
[  3] 3.0000-3.1000 sec  0.678 GBytes  6.78 GBytes/sec
[  3] 3.1000-3.2000 sec  0.394 GBytes  3.94 GBytes/sec
[  2] 3.1000-3.2000 sec  0.546 GBytes  5.46 GBytes/sec
[  1] 3.1000-3.2000 sec  0.685 GBytes  6.85 GBytes/sec
[  3] 3.2000-3.3000 sec  0.447 GBytes  4.47 GBytes/sec
[  2] 3.2000-3.3000 sec  0.855 GBytes  8.55 GBytes/sec
[  1] 3.2000-3.3000 sec  0.441 GBytes  4.41 GBytes/sec
[  3] 3.3000-3.4000 sec  0.419 GBytes  4.19 GBytes/sec
[  2] 3.3000-3.4000 sec  0.844 GBytes  8.44 GBytes/sec
[  1] 3.3000-3.4000 sec  0.462 GBytes  4.62 GBytes/sec
[  2] 3.4000-3.5000 sec  0.590 GBytes  5.90 GBytes/sec
[  1] 3.4000-3.5000 sec  0.591 GBytes  5.91 GBytes/sec
[  3] 3.4000-3.5000 sec  0.438 GBytes  4.38 GBytes/sec
[  3] 3.5000-3.6000 sec  0.469 GBytes  4.69 GBytes/sec
[  2] 3.5000-3.6000 sec  0.573 GBytes  5.73 GBytes/sec
[  1] 3.5000-3.6000 sec  0.667 GBytes  6.67 GBytes/sec
[  1] 3.6000-3.7000 sec  0.601 GBytes  6.01 GBytes/sec
[  2] 3.6000-3.7000 sec  0.579 GBytes  5.79 GBytes/sec
[  3] 3.6000-3.7000 sec  0.415 GBytes  4.15 GBytes/sec
[  3] 3.7000-3.8000 sec  0.570 GBytes  5.70 GBytes/sec
[  2] 3.7000-3.8000 sec  0.664 GBytes  6.64 GBytes/sec
[  1] 3.7000-3.8000 sec  0.671 GBytes  6.71 GBytes/sec
[  3] 3.8000-3.9000 sec  0.783 GBytes  7.83 GBytes/sec
[  2] 3.8000-3.9000 sec  0.447 GBytes  4.47 GBytes/sec
[  1] 3.8000-3.9000 sec  0.490 GBytes  4.90 GBytes/sec
[  3] 3.9000-4.0000 sec  0.403 GBytes  4.03 GBytes/sec
[  2] 3.9000-4.0000 sec  0.517 GBytes  5.17 GBytes/sec
[  1] 3.9000-4.0000 sec  0.598 GBytes  5.98 GBytes/sec
[  2] 4.0000-4.1000 sec  0.363 GBytes  3.63 GBytes/sec
[  1] 4.0000-4.1000 sec  0.816 GBytes  8.16 GBytes/sec
[  3] 4.0000-4.1000 sec  0.408 GBytes  4.08 GBytes/sec
[  3] 4.1000-4.2000 sec  0.409 GBytes  4.09 GBytes/sec
[  2] 4.1000-4.2000 sec  0.393 GBytes  3.93 GBytes/sec
[  1] 4.1000-4.2000 sec  0.846 GBytes  8.46 GBytes/sec
[  3] 4.2000-4.3000 sec  0.367 GBytes  3.67 GBytes/sec
[  2] 4.2000-4.3000 sec  0.492 GBytes  4.92 GBytes/sec
[  1] 4.2000-4.3000 sec  0.846 GBytes  8.46 GBytes/sec
[  3] 4.3000-4.4000 sec  0.680 GBytes  6.80 GBytes/sec
[  1] 4.3000-4.4000 sec  0.501 GBytes  5.01 GBytes/sec
[  2] 4.3000-4.4000 sec  0.459 GBytes  4.59 GBytes/sec
[  2] 4.4000-4.5000 sec  0.387 GBytes  3.87 GBytes/sec
[  1] 4.4000-4.5000 sec  0.652 GBytes  6.52 GBytes/sec
[  3] 4.4000-4.5000 sec  0.562 GBytes  5.62 GBytes/sec
[  1] 4.5000-4.6000 sec  0.764 GBytes  7.64 GBytes/sec
[  3] 4.5000-4.6000 sec  0.369 GBytes  3.69 GBytes/sec
[  2] 4.5000-4.6000 sec  0.522 GBytes  5.22 GBytes/sec
[  3] 4.6000-4.7000 sec  0.425 GBytes  4.25 GBytes/sec
[  2] 4.6000-4.7000 sec  0.830 GBytes  8.30 GBytes/sec
[  1] 4.6000-4.7000 sec  0.447 GBytes  4.47 GBytes/sec
[  3] 4.7000-4.8000 sec  0.467 GBytes  4.67 GBytes/sec
[  2] 4.7000-4.8000 sec  0.846 GBytes  8.46 GBytes/sec
[  1] 4.7000-4.8000 sec  0.478 GBytes  4.78 GBytes/sec
[  2] 4.8000-4.9000 sec  0.807 GBytes  8.07 GBytes/sec
[  1] 4.8000-4.9000 sec  0.392 GBytes  3.92 GBytes/sec
[  3] 4.8000-4.9000 sec  0.502 GBytes  5.02 GBytes/sec
[  3] 4.9000-4.9984 sec  0.411 GBytes  4.18 GBytes/sec
[  3] 0.0000-4.9984 sec  23.3 GBytes  4.67 GBytes/sec
[  1] 4.9000-5.0000 sec  0.470 GBytes  4.70 GBytes/sec
[  2] 4.9000-4.9995 sec  0.954 GBytes  9.60 GBytes/sec
[  2] 0.0000-4.9995 sec  34.1 GBytes  6.81 GBytes/sec
[  1] 0.0000-5.0016 sec  26.2 GBytes  5.24 GBytes/sec
