------------------------------------------------------------
Server listening on TCP port 5001
TCP congestion control set to vegas
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.0.4 port 5001 connected with 10.0.0.3 port 39670 (icwnd/mss/irtt=14/1448/2158)
[  2] local 10.0.0.4 port 5001 connected with 10.0.0.1 port 45376 (icwnd/mss/irtt=14/1448/5205)
[  3] local 10.0.0.4 port 5001 connected with 10.0.0.2 port 47348 (icwnd/mss/irtt=14/1448/5446)
[ ID] Interval       Transfer     Bandwidth
[  1] 1.2000-1.3000 sec  0.776 GBytes  7.76 GBytes/sec
[  3] 1.2000-1.3000 sec  0.725 GBytes  7.25 GBytes/sec
[  1] 1.3000-1.4000 sec  0.766 GBytes  7.66 GBytes/sec
[  2] 1.3000-1.4000 sec  0.930 GBytes  9.30 GBytes/sec
[  3] 1.3000-1.4000 sec  0.722 GBytes  7.22 GBytes/sec
[  2] 1.4000-1.5000 sec  1.01 GBytes  10.1 GBytes/sec
[  3] 1.4000-1.5000 sec  0.732 GBytes  7.32 GBytes/sec
[  1] 1.4000-1.5000 sec  0.777 GBytes  7.77 GBytes/sec
[  2] 1.5000-1.6000 sec  1.04 GBytes  10.4 GBytes/sec
[  3] 1.5000-1.6000 sec  0.733 GBytes  7.33 GBytes/sec
[  1] 1.5000-1.6000 sec  0.785 GBytes  7.85 GBytes/sec
[  2] 1.6000-1.7000 sec  0.894 GBytes  8.94 GBytes/sec
[  3] 1.6000-1.7000 sec  0.710 GBytes  7.10 GBytes/sec
[  1] 1.6000-1.7000 sec  0.751 GBytes  7.51 GBytes/sec
[  2] 1.7000-1.8000 sec  0.899 GBytes  8.99 GBytes/sec
[  1] 1.7000-1.8000 sec  0.756 GBytes  7.56 GBytes/sec
[  3] 1.7000-1.8000 sec  0.711 GBytes  7.11 GBytes/sec
[  1] 1.8000-1.9000 sec  0.762 GBytes  7.62 GBytes/sec
[  2] 1.8000-1.9000 sec  0.970 GBytes  9.70 GBytes/sec
[  3] 1.8000-1.9000 sec  0.736 GBytes  7.36 GBytes/sec
[  2] 1.9000-2.0000 sec  0.878 GBytes  8.78 GBytes/sec
[  3] 1.9000-2.0000 sec  0.710 GBytes  7.10 GBytes/sec
[  1] 1.9000-2.0000 sec  0.756 GBytes  7.56 GBytes/sec
[  2] 2.0000-2.1000 sec  0.965 GBytes  9.65 GBytes/sec
[  3] 2.0000-2.1000 sec  0.750 GBytes  7.50 GBytes/sec
[  1] 2.0000-2.1000 sec  0.768 GBytes  7.68 GBytes/sec
[  2] 2.1000-2.2000 sec  0.877 GBytes  8.77 GBytes/sec
[  1] 2.1000-2.2000 sec  0.748 GBytes  7.48 GBytes/sec
[  3] 2.1000-2.2000 sec  0.729 GBytes  7.29 GBytes/sec
[  1] 2.2000-2.3000 sec  0.781 GBytes  7.81 GBytes/sec
[  2] 2.2000-2.3000 sec  1.06 GBytes  10.6 GBytes/sec
[  3] 2.2000-2.3000 sec  0.744 GBytes  7.44 GBytes/sec
[  2] 2.3000-2.4000 sec  0.874 GBytes  8.74 GBytes/sec
[  3] 2.3000-2.4000 sec  0.688 GBytes  6.88 GBytes/sec
[  1] 2.3000-2.4000 sec  0.731 GBytes  7.31 GBytes/sec
[  2] 2.4000-2.5000 sec  0.916 GBytes  9.16 GBytes/sec
[  3] 2.4000-2.5000 sec  0.649 GBytes  6.49 GBytes/sec
[  1] 2.4000-2.5000 sec  0.685 GBytes  6.85 GBytes/sec
[  2] 2.5000-2.6000 sec  0.814 GBytes  8.14 GBytes/sec
[  3] 2.5000-2.6000 sec  0.681 GBytes  6.81 GBytes/sec
[  1] 2.5000-2.6000 sec  0.683 GBytes  6.83 GBytes/sec
[  2] 2.6000-2.7000 sec  0.863 GBytes  8.63 GBytes/sec
[  1] 2.6000-2.7000 sec  0.635 GBytes  6.35 GBytes/sec
[  3] 2.6000-2.7000 sec  0.629 GBytes  6.29 GBytes/sec
[  1] 2.7000-2.8000 sec  0.715 GBytes  7.15 GBytes/sec
[  2] 2.7000-2.8000 sec  0.875 GBytes  8.75 GBytes/sec
[  3] 2.7000-2.8000 sec  0.704 GBytes  7.04 GBytes/sec
[  2] 2.8000-2.9000 sec  1.06 GBytes  10.6 GBytes/sec
[  3] 2.8000-2.9000 sec  0.722 GBytes  7.22 GBytes/sec
[  1] 2.8000-2.9000 sec  0.778 GBytes  7.78 GBytes/sec
[  2] 2.9000-3.0000 sec  0.841 GBytes  8.41 GBytes/sec
[  3] 2.9000-3.0000 sec  0.702 GBytes  7.02 GBytes/sec
[  1] 2.9000-3.0000 sec  0.745 GBytes  7.45 GBytes/sec
[  2] 3.0000-3.1000 sec  0.886 GBytes  8.86 GBytes/sec
[  3] 3.0000-3.1000 sec  0.702 GBytes  7.02 GBytes/sec
[  1] 3.0000-3.1000 sec  0.713 GBytes  7.13 GBytes/sec
[  2] 3.1000-3.2000 sec  0.921 GBytes  9.21 GBytes/sec
[  1] 3.1000-3.2000 sec  0.708 GBytes  7.08 GBytes/sec
[  3] 3.1000-3.2000 sec  0.710 GBytes  7.10 GBytes/sec
[  1] 3.2000-3.3000 sec  0.733 GBytes  7.33 GBytes/sec
[  2] 3.2000-3.3000 sec  0.940 GBytes  9.40 GBytes/sec
[  3] 3.2000-3.3000 sec  0.745 GBytes  7.44 GBytes/sec
[  2] 3.3000-3.4000 sec  0.971 GBytes  9.71 GBytes/sec
[  3] 3.3000-3.4000 sec  0.738 GBytes  7.38 GBytes/sec
[  1] 3.3000-3.4000 sec  0.754 GBytes  7.54 GBytes/sec
[  2] 3.4000-3.5000 sec  0.991 GBytes  9.91 GBytes/sec
[  3] 3.4000-3.5000 sec  0.734 GBytes  7.34 GBytes/sec
[  1] 3.4000-3.5000 sec  0.740 GBytes  7.40 GBytes/sec
[  2] 3.5000-3.6000 sec  0.921 GBytes  9.21 GBytes/sec
[  3] 3.5000-3.6000 sec  0.719 GBytes  7.19 GBytes/sec
[  1] 3.5000-3.6000 sec  0.765 GBytes  7.65 GBytes/sec
[  2] 3.6000-3.7000 sec  0.943 GBytes  9.43 GBytes/sec
[  1] 3.6000-3.7000 sec  0.763 GBytes  7.63 GBytes/sec
[  3] 3.6000-3.7000 sec  0.711 GBytes  7.11 GBytes/sec
[  1] 3.7000-3.8000 sec  0.753 GBytes  7.53 GBytes/sec
[  2] 3.7000-3.8000 sec  0.997 GBytes  9.97 GBytes/sec
[  3] 3.7000-3.8000 sec  0.740 GBytes  7.40 GBytes/sec
[  2] 3.8000-3.9000 sec  0.994 GBytes  9.94 GBytes/sec
[  3] 3.8000-3.9000 sec  0.742 GBytes  7.42 GBytes/sec
[  1] 3.8000-3.9000 sec  0.758 GBytes  7.58 GBytes/sec
[  2] 3.9000-4.0000 sec  0.956 GBytes  9.56 GBytes/sec
[  3] 3.9000-4.0000 sec  0.704 GBytes  7.04 GBytes/sec
[  1] 3.9000-4.0000 sec  0.752 GBytes  7.52 GBytes/sec
[  2] 4.0000-4.1000 sec  1.03 GBytes  10.3 GBytes/sec
[  1] 4.0000-4.1000 sec  0.753 GBytes  7.53 GBytes/sec
[  3] 4.0000-4.1000 sec  0.725 GBytes  7.25 GBytes/sec
[  1] 4.1000-4.2000 sec  0.734 GBytes  7.34 GBytes/sec
[  2] 4.1000-4.2000 sec  0.913 GBytes  9.13 GBytes/sec
[  3] 4.1000-4.2000 sec  0.682 GBytes  6.82 GBytes/sec
[  2] 4.2000-4.3000 sec  1.00 GBytes  10.0 GBytes/sec
[  3] 4.2000-4.3000 sec  0.746 GBytes  7.46 GBytes/sec
[  1] 4.2000-4.3000 sec  0.770 GBytes  7.70 GBytes/sec
[  2] 4.3000-4.4000 sec  0.955 GBytes  9.55 GBytes/sec
[  3] 4.3000-4.4000 sec  0.709 GBytes  7.09 GBytes/sec
[  1] 4.3000-4.4000 sec  0.746 GBytes  7.46 GBytes/sec
[  2] 4.4000-4.5000 sec  0.828 GBytes  8.28 GBytes/sec
[  3] 4.4000-4.5000 sec  0.667 GBytes  6.67 GBytes/sec
[  1] 4.4000-4.5000 sec  0.664 GBytes  6.64 GBytes/sec
[  2] 4.5000-4.6000 sec  0.809 GBytes  8.09 GBytes/sec
[  1] 4.5000-4.6000 sec  0.672 GBytes  6.72 GBytes/sec
[  3] 4.5000-4.6000 sec  0.651 GBytes  6.51 GBytes/sec
[  1] 4.6000-4.7000 sec  0.717 GBytes  7.17 GBytes/sec
[  2] 4.6000-4.7000 sec  0.903 GBytes  9.03 GBytes/sec
[  3] 4.6000-4.7000 sec  0.694 GBytes  6.94 GBytes/sec
[  2] 4.7000-4.8000 sec  0.843 GBytes  8.43 GBytes/sec
[  3] 4.7000-4.8000 sec  0.585 GBytes  5.85 GBytes/sec
[  1] 4.7000-4.8000 sec  0.592 GBytes  5.92 GBytes/sec
[  2] 4.8000-4.9000 sec  0.874 GBytes  8.74 GBytes/sec
[  3] 4.8000-4.9000 sec  0.648 GBytes  6.48 GBytes/sec
[  1] 4.8000-4.9000 sec  0.670 GBytes  6.70 GBytes/sec
[  2] 4.9000-5.0000 sec  0.868 GBytes  8.68 GBytes/sec
[  3] 4.9000-5.0000 sec  0.662 GBytes  6.62 GBytes/sec
[  1] 4.9000-5.0000 sec  0.664 GBytes  6.64 GBytes/sec
[  2] 0.0000-5.0004 sec  44.6 GBytes  8.93 GBytes/sec
[  1] 0.0000-5.0005 sec  36.3 GBytes  7.26 GBytes/sec
[  3] 0.0000-5.0017 sec  35.6 GBytes  7.12 GBytes/sec
